1	170
2	136
3	136
4	136
5	150
6	121
6	170
7	121
7	136
7	170
8	121
8	170
9	121
10	121
11	8
11	158
12	8
12	150
12	158
13	150
13	158
14	150
15	8
15	150
16	65
16	121
16	136
16	141
16	150
17	65
17	121
17	136
17	141
17	150
18	65
18	121
18	136
18	141
18	150
19	65
19	121
19	136
19	141
19	150
20	65
20	121
20	136
20	141
20	150
21	65
21	121
21	136
21	141
21	150
22	65
22	121
22	136
22	141
22	150
23	65
23	121
23	136
23	141
23	150
24	65
24	121
24	136
24	141
24	150
25	65
25	121
25	136
25	141
25	150
26	65
26	121
26	136
26	141
26	150
27	65
27	121
27	136
27	141
27	150
28	65
28	121
28	136
28	141
28	150
29	65
29	121
29	136
29	141
29	150
30	65
30	121
30	136
30	141
30	150
31	65
31	121
31	136
31	141
31	150
32	35
33	35
34	76
35	76
36	136
36	150
37	65
37	121
37	136
37	141
37	150
38	35
39	35
40	35
41	35
42	136
42	142
43	8
43	150
44	8
44	150
44	158
45	8
45	150
45	158
46	8
46	150
46	158
47	8
47	150
47	158
48	8
49	142
50	136
50	142
51	136
51	142
52	136
52	142
53	136
53	142
54	142
55	136
55	142
56	136
56	142
57	121
58	121
59	121
60	121
61	121
62	121
63	121
64	121
65	121
66	121
67	121
68	121
69	136
70	136
70	142
71	142
72	35
73	35
74	35
75	35
76	35
77	35
78	121
79	136
80	136
81	136
82	136
83	136
84	136
85	136
86	136
87	136
88	68
89	3
89	121
90	169
90	170
91	76
92	35
93	136
93	142
94	142
95	136
95	142
96	136
96	142
97	68
98	68
99	68
100	68
101	141
102	141
103	128
104	128
105	128
106	128
107	128
108	128
109	121
110	141
111	141
112	116
113	116
114	150
115	35
116	68
116	121
117	68
117	121
118	121
119	121
120	150
121	150
122	150
123	150
124	121
125	121
126	121
127	3
127	121
128	142
129	22
130	22
130	104
130	136
131	22
131	104
131	136
132	150
133	65
133	121
133	136
133	141
133	150
134	65
134	121
134	136
134	141
134	150
135	65
135	121
135	136
135	141
135	150
136	65
136	121
136	136
136	141
136	150
137	65
137	121
137	136
137	141
137	150
138	22
138	68
138	94
138	104
138	121
138	136
139	22
139	68
139	94
139	104
139	121
139	136
140	22
140	68
140	104
140	121
140	136
141	22
141	68
141	94
141	104
141	121
141	136
142	22
142	68
142	94
142	104
142	121
142	136
143	22
143	68
143	94
143	104
143	121
143	136
144	22
144	68
144	94
144	104
144	121
144	136
145	121
146	121
146	136
146	170
147	121
147	136
147	170
148	121
149	121
150	35
150	121
151	35
151	121
152	35
152	121
153	35
153	121
154	35
154	121
155	35
155	121
156	35
156	121
157	35
157	121
158	121
159	121
160	121
161	121
162	121
163	136
163	141
164	136
164	141
165	136
165	141
166	150
167	121
168	8
168	150
168	158
169	136
169	141
170	121
171	121
172	121
173	121
174	68
174	121
175	121
176	68
176	121
177	68
177	121
178	68
179	68
179	121
180	35
181	121
181	136
181	147
182	167
182	172
183	121
184	121
184	136
184	147
185	121
185	136
185	147
186	121
186	136
186	147
187	121
187	136
187	147
188	121
188	136
188	147
189	121
189	136
189	147
190	121
190	136
190	147
191	121
191	136
191	147
192	121
192	136
192	147
193	121
194	121
194	136
194	147
195	121
196	121
197	121
198	148
198	150
198	157
199	121
199	136
199	147
200	121
201	68
202	10
202	77
203	136
203	142
204	121
205	136
205	142
206	121
206	136
207	136
207	142
208	136
209	136
210	136
210	142
211	142
212	136
212	142
213	136
213	142
214	142
215	121
215	136
215	147
216	142
217	136
217	142
218	136
218	142
219	8
219	150
219	158
220	150
221	150
222	29
222	31
223	136
223	142
224	29
224	31
225	29
225	31
226	150
227	121
227	136
227	147
228	136
228	141
229	121
230	121
231	121
232	150
233	136
233	142
234	142
235	142
236	142
237	136
237	141
238	136
238	141
239	128
240	76
241	68
242	167
242	172
243	136
243	142
244	68
245	167
245	172
245	169
245	170
246	121
247	8
248	136
248	142
249	136
249	142
250	3
250	121
250	128
250	129
250	136
251	136
251	142
252	136
252	142
253	136
254	136
254	142
255	136
255	142
256	65
256	66
256	67
256	68
256	121
256	136
256	141
257	136
257	142
258	65
258	66
258	67
258	68
258	121
258	136
258	141
259	65
259	66
259	67
259	68
259	121
259	136
259	141
260	136
260	142
261	142
262	65
262	66
262	67
262	68
262	121
262	136
262	141
263	136
263	142
264	35
264	121
265	35
265	121
266	35
266	121
267	35
267	121
268	142
